order_id,user_id,status,amount,region,priority,order_date
ORD-500085,USR-3092,Completed,4085.83,North,High,2023-11-26
ORD-500086,USR-15203,Processing,858.69,East,Medium,2023-06-17
ORD-500087,USR-6356,Cancelled,3437.47,West,Medium,2024-01-21
ORD-500088,USR-7907,Cancelled,3765.35,West,High,2024-01-19
ORD-500089,USR-6734,Pending,2943.14,North,High,2023-05-07
ORD-500090,USR-1334,Pending,1111.52,West,Low,2023-02-28
ORD-500091,USR-4572,Processing,3162.62,East,High,2023-11-07
ORD-500092,USR-13255,Completed,3511.17,South,Medium,2023-02-25
ORD-500093,USR-6112,Processing,1815.11,South,High,2023-10-31
ORD-500094,USR-11277,Pending,503.46,East,Low,2023-11-04
ORD-500095,USR-14046,Completed,1595.06,West,Low,2023-07-09
ORD-500096,USR-11610,Cancelled,106.3,West,Medium,2023-02-24
ORD-500097,USR-6935,Processing,3197.52,West,High,2024-01-11
ORD-500098,USR-11658,Cancelled,2790.81,West,Medium,2023-08-12
ORD-500099,USR-10708,Cancelled,1484.26,South,High,2023-05-23
ORD-500100,USR-4996,Processing,2585.83,West,Medium,2023-01-15
ORD-500101,USR-6326,Pending,2219.6,East,Medium,2023-06-24
ORD-500102,USR-10768,Cancelled,2523.27,South,High,2023-05-04
ORD-500103,USR-9005,Pending,3123.21,West,Medium,2024-02-10
ORD-500104,,Cancelled,1036.1,South,Medium,2023-12-06
ORD-500105,USR-8754,Cancelled,1943.49,East,Medium,2023-12-26
ORD-500106,USR-6024,Cancelled,1075.89,South,Medium,2023-03-03
ORD-500107,USR-13488,Pending,902.36,West,Medium,2024-01-06
ORD-500108,USR-13456,Cancelled,4413.27,South,Medium,2023-04-27
ORD-500109,USR-5953,Completed,3200.68,South,Medium,2023-01-24
ORD-500110,USR-10067,Cancelled,3153.51,South,Low,2024-03-20
ORD-500111,USR-2681,Completed,2604.59,West,Medium,2023-08-14
ORD-500112,USR-1842,Cancelled,4237.73,West,High,2024-02-25
ORD-500113,USR-9057,Completed,2617.74,North,High,2023-03-18
ORD-500114,USR-5979,Completed,4472.94,North,Low,2024-01-27
ORD-500115,USR-10767,Pending,3501.84,West,Medium,2023-08-15
ORD-500116,USR-10643,Processing,1408.94,North,Low,2024-01-14
ORD-500117,USR-13497,Pending,2833.54,East,Low,2023-02-11
ORD-500118,USR-3848,Completed,746.57,West,Medium,2023-12-19
ORD-500119,USR-5772,Completed,1080.07,East,Low,2024-03-16
ORD-500120,USR-12263,Pending,4161.4,South,Medium,2023-02-28
ORD-500121,USR-11611,Pending,4092.43,South,High,2023-01-31
ORD-500122,USR-6040,Cancelled,2004.23,West,Low,2023-06-05
ORD-500123,USR-5461,Processing,1998.03,North,Medium,2024-01-12
ORD-500124,USR-5103,Completed,456.4,North,Low,2024-02-25
ORD-500125,USR-1660,Pending,2143.73,West,Medium,2023-04-03
ORD-500126,USR-8142,Processing,4362.3,West,Medium,2023-07-29
ORD-500127,USR-11980,Completed,3866.91,East,Medium,2023-12-22
ORD-500128,USR-11856,Processing,3670.37,North,Medium,2023-02-15
ORD-500129,USR-6297,Completed,4367.32,West,Low,2024-02-27
ORD-500130,USR-11776,Processing,1888.95,South,Low,2023-07-05
ORD-500131,USR-9168,Processing,3431.96,South,Medium,2023-10-09
ORD-500132,USR-5720,Processing,3969.77,West,High,2023-01-15
ORD-500133,USR-10976,Pending,3208.53,East,Low,2023-01-08
ORD-500134,USR-2528,Pending,4465.54,North,Medium,2023-03-02
ORD-500135,USR-3523,Processing,4200.31,East,Low,2023-12-28
ORD-500136,USR-14677,Processing,4412.09,South,Medium,2023-10-10
ORD-500137,USR-4123,Pending,3894.92,East,Medium,2023-06-24
ORD-500138,USR-9319,Cancelled,3701.45,East,Low,2023-06-02
ORD-500139,USR-10502,Processing,3900.41,West,Low,2023-09-05
ORD-500140,USR-10043,Processing,2076.28,East,High,2023-12-24
ORD-500141,USR-7275,Pending,3859.26,West,High,2023-06-12
ORD-500142,USR-12555,Processing,1768.05,South,Medium,2023-01-19
ORD-500143,USR-10670,Cancelled,3920.17,West,High,2023-09-27
ORD-500144,USR-1252,Pending,1874.4,South,High,2023-08-29
ORD-500145,USR-5343,Cancelled,2823.5,West,Low,2023-02-11
ORD-500146,USR-14965,Processing,4295.92,West,Low,2023-01-19
ORD-500147,USR-4847,Cancelled,4488.55,North,Medium,2023-02-20
ORD-500148,USR-12533,Completed,2024.37,East,High,2023-01-24
ORD-500149,USR-1920,Cancelled,1645.16,West,High,2023-05-06
ORD-500150,USR-10273,Pending,806.43,North,Low,2024-03-21
ORD-500151,USR-12193,Pending,2264.62,South,High,2023-08-25
ORD-500152,USR-8530,Cancelled,3017.44,West,Medium,2023-12-13
ORD-500153,USR-2211,Processing,4256.3,East,Low,2023-08-06
ORD-500154,USR-8485,Cancelled,936.52,West,Medium,2023-02-24
ORD-500155,USR-10371,Cancelled,2607.91,East,High,2024-02-29
ORD-500156,USR-5498,Completed,2568.38,North,Low,2024-01-17
ORD-500157,USR-15814,Cancelled,3502.05,South,Low,2024-02-15
ORD-500158,USR-11431,Pending,2812.97,South,Low,2023-02-19
ORD-500159,USR-11590,Completed,1424.75,West,High,2023-10-24
ORD-500160,USR-3154,Completed,4097.84,East,Low,2023-08-01
ORD-500161,USR-3166,Cancelled,2412.29,East,High,2023-05-12
ORD-500162,USR-8895,Cancelled,3372.19,East,High,2023-08-28
ORD-500163,USR-3307,Pending,3877.63,West,Low,2023-07-07
ORD-500164,USR-7465,Completed,1226.84,North,Medium,2023-07-08
ORD-500165,USR-12016,Cancelled,2651.29,East,High,2023-12-12
ORD-500166,USR-1411,Cancelled,4122.89,South,Low,2023-02-02
ORD-500167,USR-8607,Cancelled,2939.12,North,High,2023-01-24
ORD-500168,USR-5987,Processing,566.74,South,Low,2023-03-11
ORD-500169,USR-7079,Processing,2663.66,South,Medium,2023-12-02
ORD-500170,USR-9018,Processing,4228.79,East,High,2023-12-20
ORD-500171,USR-8265,Processing,4279.97,East,High,2023-12-18
ORD-500172,USR-15774,Cancelled,319.45,East,High,2023-03-04
ORD-500173,USR-14504,Processing,457.95,South,Low,2023-11-24
ORD-500174,USR-1350,Completed,3551.24,South,High,2024-02-07
ORD-500175,USR-2125,Pending,2659.4,South,Medium,2024-02-01
ORD-500176,USR-15755,Completed,1283.87,South,High,2023-10-04
ORD-500177,USR-3859,Completed,2991.71,North,High,2023-01-08
ORD-500178,USR-13918,Pending,2670.4,North,High,2023-05-16
ORD-500179,USR-13153,Processing,2391.08,North,Medium,2023-08-18
ORD-500180,USR-9409,Completed,2061.42,South,Low,2023-01-23
ORD-500181,USR-15889,Cancelled,2088.29,North,High,2023-09-03
ORD-500182,USR-7985,Completed,2231.7,West,High,2023-02-11
ORD-500183,USR-3431,Completed,611.55,East,Medium,2023-11-02
ORD-500184,USR-8434,Processing,491.34,North,Low,2023-11-30
ORD-500185,USR-10034,Pending,1963.81,South,Medium,2023-06-23
ORD-500186,USR-7533,Processing,3296.78,East,Medium,2023-06-10
ORD-500187,USR-7133,Pending,3106.35,West,High,2023-02-16
ORD-500188,USR-2528,Processing,479.71,East,High,2023-10-12
ORD-500189,USR-10202,Cancelled,3031.56,West,Medium,2024-03-23
ORD-500190,USR-13293,Processing,3913.01,North,Medium,2023-11-04
ORD-500191,USR-2698,Pending,738.55,West,High,2024-03-09
ORD-500192,USR-14851,Cancelled,561.24,East,Low,2023-04-26
ORD-500193,USR-14848,Completed,2760.03,East,High,2023-04-03
ORD-500194,USR-13492,Cancelled,4150.84,East,High,2023-04-03
ORD-500195,USR-10279,Processing,359.66,North,High,2024-01-18
ORD-500196,USR-7164,Processing,2068.72,South,Medium,2023-06-09
ORD-500197,USR-13728,Completed,3980.87,South,High,2024-01-22
ORD-500198,USR-12043,Completed,1260.86,West,Medium,2023-11-07
ORD-500199,USR-5476,Pending,3409.5,North,Medium,2023-08-09
ORD-500200,USR-12112,Processing,2394.86,East,High,2023-04-23
ORD-500201,USR-10820,Completed,84.21,East,High,2024-01-28
ORD-500202,USR-5187,Cancelled,1510.14,North,Medium,2024-01-18
ORD-500203,USR-3117,Processing,2419.99,South,Low,2023-10-14
ORD-500204,USR-14209,Cancelled,370.74,North,Medium,2023-01-10
ORD-500205,USR-2276,Cancelled,2612.13,West,Low,2023-11-24
ORD-500206,USR-2888,Processing,142.81,East,High,2024-02-15
ORD-500207,USR-8539,Cancelled,442.18,North,High,2023-08-12
ORD-500208,USR-9585,Completed,1811.16,East,Low,2023-06-23
ORD-500209,USR-13766,Pending,389.89,North,Low,2023-09-19
ORD-500210,USR-13718,Cancelled,1612.39,South,High,2023-02-22
ORD-500211,USR-4233,Pending,2730.68,North,High,2024-01-31
ORD-500212,USR-8602,Processing,3081.04,East,Low,2023-06-11
ORD-500213,USR-2119,Processing,2017.83,East,Medium,2023-10-30
ORD-500214,USR-9313,Completed,1431.31,West,High,2023-01-30
ORD-500215,USR-5704,Completed,2918.77,North,Low,2023-11-01
ORD-500216,USR-8582,Completed,2051.31,South,Medium,2023-11-06
ORD-500217,USR-3472,Completed,2054.83,East,Low,2023-02-13
ORD-500218,USR-3828,Completed,1152.46,West,Medium,2023-09-26
ORD-500219,USR-3601,Cancelled,1709.19,East,Medium,2023-07-29
ORD-500220,USR-12124,Completed,3562.06,East,High,2023-06-18
ORD-500221,USR-12115,Processing,1314.45,South,Medium,2023-02-11
ORD-500222,USR-3318,Cancelled,1430.53,West,High,2023-11-01
ORD-500223,USR-2389,Cancelled,2537.2,East,High,2023-12-10
ORD-500224,USR-13105,Completed,2924.81,West,Low,2023-07-05
ORD-500225,,Cancelled,852.17,South,Medium,2024-01-28
ORD-500226,USR-4712,Pending,739.51,East,High,2023-09-17
ORD-500227,USR-14683,Completed,2995.59,South,Low,2023-07-12
ORD-500228,USR-3963,Pending,3259.26,North,Medium,2023-07-06
ORD-500229,USR-4892,Processing,2767.15,West,High,2023-10-01
ORD-500230,USR-14249,Processing,4072.69,South,Medium,2023-12-14
ORD-500231,USR-8219,Processing,3474.0,West,Low,2023-09-28
ORD-500232,USR-3656,Pending,3615.6,South,Medium,2023-01-27
ORD-500233,USR-15322,Cancelled,2517.71,North,Low,2024-03-09
ORD-500234,USR-3043,Cancelled,423.24,South,Medium,2023-08-19
ORD-500235,USR-3415,Processing,458.13,South,Medium,2023-06-28
ORD-500236,USR-7798,Completed,1814.22,East,High,2023-07-17
ORD-500237,USR-7143,Pending,175.43,North,Low,2023-11-29
ORD-500238,USR-3393,Pending,220.45,West,Low,2024-03-01
ORD-500239,USR-12560,Processing,2046.28,North,High,2023-01-10
ORD-500240,USR-14681,Pending,2492.18,West,High,2024-02-02
ORD-500241,USR-5935,Completed,262.49,West,Low,2024-02-11
ORD-500242,USR-2030,Completed,3773.26,West,Low,2023-10-02
ORD-500243,,Pending,3247.52,East,Medium,2023-01-01
ORD-500244,USR-4942,Processing,883.55,North,Low,2023-07-04
ORD-500245,USR-9619,Completed,1787.52,West,High,2023-11-22
ORD-500246,USR-7117,Cancelled,3375.56,East,High,2023-06-26
ORD-500247,USR-11766,Completed,3483.18,East,High,2023-01-23
ORD-500248,USR-6547,Pending,3745.21,West,Low,2023-09-03
ORD-500249,USR-14296,Pending,330.8,West,High,2023-05-31
ORD-500250,USR-13962,Pending,3991.77,East,Medium,2023-09-21
ORD-500251,USR-14360,Processing,1177.25,South,Medium,2023-07-02
ORD-500252,USR-1784,Cancelled,1265.81,East,Medium,2023-07-24
ORD-500253,USR-15658,Processing,1558.71,South,Medium,2023-12-21
ORD-500254,USR-14063,Cancelled,3615.11,West,High,2023-08-09
ORD-500255,USR-14474,Pending,2477.36,East,High,2023-02-10
ORD-500256,USR-5844,Cancelled,2034.33,West,High,2023-12-20
ORD-500257,USR-8326,Completed,3284.32,East,Low,2023-08-11
ORD-500258,USR-13968,Completed,383.93,West,Medium,2023-09-20
ORD-500259,USR-12132,Pending,4289.91,South,Low,2023-12-14
ORD-500260,USR-1571,Pending,349.19,East,Medium,2023-07-16
ORD-500261,USR-1531,Pending,3071.83,East,Medium,2023-08-16
ORD-500262,USR-10404,Pending,2406.1,West,Medium,2023-11-29
ORD-500263,USR-2859,Completed,3323.75,West,Low,2023-07-18
ORD-500264,USR-2930,Cancelled,3498.59,West,High,2023-11-10
ORD-500265,USR-9048,Pending,595.74,North,Medium,2023-03-30
ORD-500266,USR-8293,Completed,3656.78,East,Low,2023-06-27
ORD-500267,USR-10012,Cancelled,4016.43,South,Low,2023-12-30
ORD-500268,USR-11449,Pending,3581.95,South,High,2023-04-13
ORD-500269,USR-4879,Processing,166.96,East,Medium,2024-02-16
ORD-500270,USR-3127,Completed,342.58,West,Low,2024-01-04
ORD-500271,USR-7731,Processing,3713.86,North,High,2023-06-12
ORD-500272,USR-8373,Processing,3076.49,East,High,2024-03-25
ORD-500273,USR-10033,Pending,3466.63,South,Medium,2023-09-15
ORD-500274,USR-1908,Completed,2355.55,East,High,2023-03-24
ORD-500275,USR-12622,Pending,1589.8,East,High,2023-05-09
ORD-500276,USR-10025,Cancelled,607.01,East,Low,2023-10-01
ORD-500277,USR-11502,Pending,2683.55,South,High,2023-12-04
ORD-500278,USR-15779,Cancelled,3799.26,North,High,2023-02-11
ORD-500279,,Cancelled,2947.53,West,Low,2023-11-24
ORD-500280,,Cancelled,2906.49,East,Medium,2023-05-06
ORD-500281,USR-12223,Processing,1373.58,North,Low,2023-01-31
ORD-500282,USR-7810,Processing,2116.77,East,Low,2023-03-15
ORD-500283,USR-12770,Cancelled,3317.19,East,Medium,2023-03-08
ORD-500284,USR-9438,Completed,1470.07,West,High,2023-05-17
ORD-500285,USR-3309,Completed,275.19,West,Low,2023-08-03
ORD-500286,USR-15178,Pending,3669.98,East,High,2024-01-26
ORD-500287,USR-9434,Processing,2269.48,East,Medium,2023-01-12
ORD-500288,USR-7443,Processing,4351.76,South,Low,2023-06-30
ORD-500289,,Cancelled,2252.28,West,Medium,2023-10-02
ORD-500290,,Completed,1967.63,East,Low,2023-07-07
ORD-500291,USR-6996,Completed,1832.59,South,Medium,2023-10-11
ORD-500292,USR-7330,Processing,3451.6,East,Low,2023-12-15
ORD-500293,USR-3109,Completed,1802.87,East,Low,2023-07-07
ORD-500294,USR-4262,Processing,2275.35,North,High,2023-03-12
ORD-500295,USR-14173,Processing,2361.03,South,Low,2023-09-21
ORD-500296,USR-11045,Cancelled,773.13,East,Low,2023-06-22
ORD-500297,USR-9352,Processing,3203.89,East,Medium,2024-02-22
ORD-500298,,Cancelled,3048.44,West,Low,2023-06-07
ORD-500299,USR-12884,Completed,2706.25,East,Low,2024-02-05
ORD-500300,USR-10478,Pending,3260.23,West,High,2023-09-26
ORD-500301,USR-11154,Processing,707.6,South,High,2023-10-21
ORD-500302,USR-2801,Pending,134.27,East,Medium,2023-03-19
ORD-500303,USR-4341,Processing,2283.1,West,Low,2024-01-08
ORD-500304,USR-3263,Pending,2545.95,West,Low,2023-07-12
ORD-500305,USR-3838,Processing,4108.95,East,Low,2023-07-01
ORD-500306,USR-15216,Cancelled,2764.84,South,High,2023-05-23
ORD-500307,USR-4685,Cancelled,3481.73,South,Low,2023-12-27
ORD-500308,USR-8862,Cancelled,2544.17,East,Medium,2023-03-04
ORD-500309,USR-9900,Processing,4036.13,West,Medium,2024-01-31
ORD-500310,USR-5759,Completed,1329.96,North,Medium,2023-08-15
ORD-500311,USR-13245,Processing,1002.24,East,Low,2023-12-23
ORD-500312,USR-2790,Pending,1128.94,South,Low,2023-04-30
ORD-500313,USR-7772,Cancelled,3242.24,North,Low,2024-01-30
ORD-500314,USR-10017,Pending,1860.74,West,Medium,2023-11-30
ORD-500315,USR-5707,Cancelled,1320.1,North,High,2023-11-30
ORD-500316,USR-9768,Completed,4113.87,South,Medium,2024-03-04
ORD-500317,USR-1596,Processing,3556.42,South,Low,2024-03-22
ORD-500318,USR-15365,Completed,91.24,North,Medium,2023-05-26
ORD-500319,USR-11508,Processing,4007.21,South,Low,2023-08-28
ORD-500320,USR-14252,Completed,1521.54,West,Low,2023-05-12
ORD-500321,USR-1231,Cancelled,3568.92,South,High,2023-11-09
ORD-500322,USR-15698,Processing,3730.1,East,High,2023-07-25
ORD-500323,USR-4028,Pending,2174.67,South,High,2023-05-14
ORD-500324,USR-8320,Cancelled,4295.45,East,Low,2024-01-06
ORD-500325,USR-5286,Cancelled,3132.82,North,Low,2023-03-02
ORD-500326,USR-3617,Processing,3103.03,East,Low,2023-03-02
ORD-500327,USR-5834,Cancelled,2785.08,South,High,2023-09-02
ORD-500328,USR-13251,Cancelled,1900.51,West,Low,2024-02-15
ORD-500329,USR-4579,Pending,3077.52,North,Low,2023-08-17
ORD-500330,USR-6928,Completed,4131.74,North,High,2024-02-29
ORD-500331,USR-9282,Pending,2598.52,South,High,2023-06-17
ORD-500332,USR-8240,Completed,3077.31,West,High,2023-09-19
ORD-500333,USR-1912,Processing,637.15,West,Medium,2023-10-16
ORD-500334,USR-8576,Cancelled,3268.6,West,Medium,2024-02-23
ORD-500335,,Pending,2623.49,North,Medium,2023-06-26
ORD-500336,USR-9867,Completed,4208.89,North,Medium,2023-01-17
ORD-500337,USR-3949,Pending,3457.93,West,Medium,2023-07-15
ORD-500338,USR-15857,Processing,1721.62,South,Low,2024-03-16
ORD-500339,USR-3925,Processing,2403.35,South,High,2024-01-23
ORD-500340,,Cancelled,2110.37,West,Low,2023-07-14
ORD-500341,USR-5056,Processing,1590.41,East,High,2024-03-24
ORD-500342,USR-2849,Completed,3652.18,West,Low,2024-01-28
ORD-500343,USR-15567,Completed,1120.97,North,High,2023-11-01
ORD-500344,,Completed,1139.07,North,Medium,2023-08-13
ORD-500345,USR-4560,Completed,673.6,East,High,2024-02-22
ORD-500346,USR-10439,Cancelled,2619.76,East,High,2023-06-04
ORD-500347,USR-11817,Pending,1890.34,East,High,2023-10-13
ORD-500348,USR-15414,Pending,2835.67,West,Low,2023-09-11
ORD-500349,,Cancelled,4240.06,West,Low,2023-06-13
ORD-500350,USR-7689,Pending,1384.5,South,Low,2023-08-31
ORD-500351,USR-4693,Cancelled,3866.06,South,Medium,2023-01-30
ORD-500352,USR-7825,Pending,1778.46,East,High,2023-06-19
ORD-500353,USR-8370,Cancelled,461.46,South,High,2023-05-18
ORD-500354,USR-10912,Completed,3937.61,South,Low,2024-01-06
ORD-500355,USR-4556,Processing,979.56,East,Medium,2023-01-08
ORD-500356,USR-4114,Completed,3373.61,West,High,2023-12-23
ORD-500357,USR-4351,Processing,4122.31,East,Medium,2023-07-14
ORD-500358,USR-11629,Cancelled,1422.48,East,Low,2023-09-12
ORD-500359,USR-14154,Processing,3439.25,East,High,2023-07-09
ORD-500360,USR-1750,Pending,3348.57,North,Medium,2023-10-11
ORD-500361,USR-10489,Processing,1363.61,South,Medium,2023-04-28
ORD-500362,USR-14654,Pending,2271.89,East,Medium,2024-01-26
ORD-500363,USR-12855,Processing,2100.69,East,High,2023-03-13
ORD-500364,USR-9001,Pending,4130.2,North,Low,2023-01-18
ORD-500365,USR-2218,Completed,3451.31,West,High,2024-03-07
ORD-500366,USR-2114,Pending,90.68,West,Medium,2023-01-31
ORD-500367,USR-11925,Processing,2983.82,North,High,2023-09-30
ORD-500368,USR-1195,Completed,2405.91,East,Low,2023-05-27
ORD-500369,,Processing,3637.45,South,High,2023-02-19
ORD-500370,USR-4949,Pending,2808.02,East,Medium,2023-05-17
ORD-500371,USR-2295,Cancelled,4318.88,West,Low,2023-05-05
ORD-500372,USR-4701,Cancelled,3093.99,North,Low,2024-03-15
ORD-500373,USR-1520,Completed,1853.49,West,Low,2023-09-01
ORD-500374,USR-1155,Pending,417.95,West,Low,2024-02-06
ORD-500375,USR-15057,Completed,4031.82,North,High,2023-04-19
ORD-500376,USR-12343,Processing,1256.37,North,Low,2023-05-24
ORD-500377,USR-10233,Completed,848.13,East,High,2023-04-17
ORD-500378,USR-13325,Processing,4183.49,East,High,2023-10-16
ORD-500379,USR-14675,Processing,3062.81,East,Medium,2024-01-22
ORD-500380,USR-13952,Completed,2278.53,East,High,2023-02-20
ORD-500381,USR-14741,Completed,1565.64,West,Medium,2023-01-16
ORD-500382,USR-13838,Processing,2233.19,East,Low,2023-07-12
ORD-500383,USR-12137,Processing,431.34,East,High,2024-01-01
ORD-500384,USR-5391,Pending,1741.0,South,Low,2023-07-19
ORD-500385,USR-2746,Completed,73.12,East,Medium,2023-07-04
ORD-500386,USR-2675,Pending,438.47,West,Medium,2023-10-13
ORD-500387,USR-7686,Completed,166.87,East,Low,2023-02-17
ORD-500388,USR-13853,Cancelled,3893.55,North,Medium,2023-07-31
ORD-500389,USR-2388,Pending,2595.22,South,Low,2023-07-14
ORD-500390,USR-5406,Cancelled,1244.41,South,High,2023-03-27
ORD-500391,USR-7900,Cancelled,2204.83,North,Medium,2023-05-09
ORD-500392,USR-12812,Processing,2692.44,South,Medium,2023-02-24
ORD-500393,USR-1111,Processing,1528.37,West,Medium,2023-08-14
ORD-500394,USR-14361,Pending,1386.94,South,Medium,2023-06-10
ORD-500395,USR-7525,Cancelled,1346.94,West,Low,2024-02-05
ORD-500396,USR-7162,Cancelled,3683.4,West,Medium,2023-02-28
ORD-500397,USR-4274,Pending,3083.62,North,Low,2023-08-25
ORD-500398,USR-4435,Processing,3599.7,North,Medium,2023-12-11
ORD-500399,USR-11377,Cancelled,1126.99,South,Low,2023-08-05
ORD-500400,USR-2212,Processing,4458.62,West,Low,2023-07-25
ORD-500401,USR-15249,Processing,2469.22,East,Low,2024-02-20
ORD-500402,USR-11456,Completed,536.69,South,Low,2023-12-07
ORD-500403,USR-11601,Completed,2556.33,West,Medium,2024-02-12
ORD-500404,USR-1173,Completed,1201.39,South,Medium,2023-07-11
ORD-500405,USR-13655,Pending,1585.1,North,Medium,2023-02-23
ORD-500406,USR-2407,Completed,3749.36,South,Medium,2023-06-09
ORD-500407,USR-13850,Pending,2368.96,East,Medium,2023-02-19
ORD-500408,USR-12416,Processing,1469.15,East,High,2024-02-19
ORD-500409,USR-1371,Cancelled,2933.47,South,Low,2023-05-05
