restaurant_id,restaurant_name,cuisine,rating,effective_from,effective_to,is_current
R115,Restaurant_114,Indian,4.0,2026-01-01,2026-04-10,False
R115,Restaurant_114,Indian,3.6,2026-04-11,,True
R116,Restaurant_115,Indian,3.9,2026-01-01,2026-04-10,False
R116,Restaurant_115,Indian,3.9,2026-04-11,,True
R117,Restaurant_116,Italian,4.5,2026-01-01,,True
R118,Restaurant_117,Indian,3.8,2026-01-01,,True
R119,Restaurant_118,Fast Food,4.2,2026-01-01,,True
R120,Restaurant_119,Fast Food,4.0,2026-01-01,2026-04-10,False
R120,Restaurant_119,Fast Food,3.6,2026-04-11,,True
R121,Restaurant_120,Indian,3.6,2026-01-01,,True
R122,Restaurant_121,Chinese,4.2,2026-01-01,2026-04-10,False
R122,Restaurant_121,Chinese,3.7,2026-04-11,,True
R123,Restaurant_122,Fast Food,3.7,2026-01-01,,True
R124,Restaurant_123,Indian,4.2,2026-01-01,2026-04-10,False
R124,Restaurant_123,Indian,4.0,2026-04-11,,True
R125,Restaurant_124,Italian,4.1,2026-01-01,2026-04-10,False
R125,Restaurant_124,Italian,4.3,2026-04-11,,True
R126,Restaurant_125,Chinese,3.9,2026-01-01,,True
R127,Restaurant_126,Chinese,4.1,2026-01-01,,True
R128,Restaurant_127,Indian,4.4,2026-01-01,2026-04-10,False
R128,Restaurant_127,Indian,4.1,2026-04-11,,True
R129,Restaurant_128,Indian,3.9,2026-01-01,2026-04-10,False
R129,Restaurant_128,Indian,3.7,2026-04-11,,True
R130,Restaurant_129,Chinese,4.3,2026-01-01,,True
R131,Restaurant_130,Indian,4.2,2026-01-01,,True
R132,Restaurant_131,Fast Food,4.5,2026-01-01,2026-04-10,False
R132,Restaurant_131,Fast Food,4.1,2026-04-11,,True
R133,Restaurant_132,Indian,3.9,2026-01-01,,True
R134,Restaurant_133,Fast Food,4.4,2026-01-01,2026-04-10,False
R134,Restaurant_133,Fast Food,4.2,2026-04-11,,True
R135,Restaurant_134,Fast Food,4.2,2026-01-01,,True
R136,Restaurant_135,Italian,3.9,2026-01-01,2026-04-10,False
R136,Restaurant_135,Italian,4.0,2026-04-11,,True
R137,Restaurant_136,Fast Food,3.8,2026-01-01,,True
R138,Restaurant_137,Chinese,4.4,2026-01-01,,True
R139,Restaurant_138,Chinese,4.1,2026-01-01,,True
R140,Restaurant_139,Italian,3.5,2026-01-01,,True
R141,Restaurant_140,Italian,4.4,2026-01-01,,True
R142,Restaurant_141,Italian,3.5,2026-01-01,2026-04-10,False
R142,Restaurant_141,Italian,3.5,2026-04-11,,True
R143,Restaurant_142,Italian,4.1,2026-01-01,2026-04-10,False
R143,Restaurant_142,Italian,4.5,2026-04-11,,True
R144,Restaurant_143,Indian,3.8,2026-01-01,2026-04-10,False
R144,Restaurant_143,Indian,3.5,2026-04-11,,True
R145,Restaurant_144,Italian,4.1,2026-01-01,,True
R146,Restaurant_145,Chinese,3.8,2026-01-01,,True
R147,Restaurant_146,Fast Food,4.3,2026-01-01,,True
R148,Restaurant_147,Indian,3.7,2026-01-01,2026-04-10,False
R148,Restaurant_147,Indian,3.3,2026-04-11,,True
R149,Restaurant_148,Fast Food,3.8,2026-01-01,2026-04-10,False
R149,Restaurant_148,Fast Food,3.6,2026-04-11,,True
R150,Restaurant_149,Italian,4.2,2026-01-01,,True
R151,Restaurant_150,Indian,3.9,2026-01-01,,True
R152,Restaurant_151,Chinese,4.3,2026-01-01,2026-04-10,False
R152,Restaurant_151,Chinese,4.7,2026-04-11,,True
R153,Restaurant_152,Italian,3.5,2026-01-01,,True
R154,Restaurant_153,Fast Food,3.8,2026-01-01,2026-04-10,False
R154,Restaurant_153,Fast Food,3.9,2026-04-11,,True
R155,Restaurant_154,Fast Food,4.3,2026-01-01,2026-04-10,False
R155,Restaurant_154,Fast Food,4.5,2026-04-11,,True
R156,Restaurant_155,Italian,3.5,2026-01-01,,True
R157,Restaurant_156,Chinese,3.8,2026-01-01,,True
R158,Restaurant_157,Italian,4.3,2026-01-01,2026-04-10,False
R158,Restaurant_157,Italian,4.7,2026-04-11,,True
R159,Restaurant_158,Fast Food,4.2,2026-01-01,2026-04-10,False
R159,Restaurant_158,Fast Food,4.7,2026-04-11,,True
R160,Restaurant_159,Italian,4.3,2026-01-01,2026-04-10,False
R160,Restaurant_159,Italian,4.7,2026-04-11,,True
R161,Restaurant_160,Indian,3.6,2026-01-01,2026-04-10,False
R161,Restaurant_160,Indian,3.1,2026-04-11,,True
R162,Restaurant_161,Italian,3.9,2026-01-01,,True
R163,Restaurant_162,Fast Food,3.8,2026-01-01,,True
R164,Restaurant_163,Fast Food,4.3,2026-01-01,,True
R165,Restaurant_164,Italian,3.9,2026-01-01,2026-04-10,False
R165,Restaurant_164,Italian,4.3,2026-04-11,,True
R166,Restaurant_165,Italian,4.0,2026-01-01,2026-04-10,False
R166,Restaurant_165,Italian,3.9,2026-04-11,,True
R167,Restaurant_166,Fast Food,3.9,2026-01-01,,True
R168,Restaurant_167,Chinese,4.0,2026-01-01,,True
R169,Restaurant_168,Fast Food,4.0,2026-01-01,,True
R170,Restaurant_169,Indian,3.7,2026-01-01,2026-04-10,False
R170,Restaurant_169,Indian,3.9,2026-04-11,,True
R171,Restaurant_170,Italian,4.1,2026-01-01,,True
R172,Restaurant_171,Italian,4.0,2026-01-01,,True
R173,Restaurant_172,Chinese,3.8,2026-01-01,2026-04-10,False
R173,Restaurant_172,Chinese,3.6,2026-04-11,,True
R174,Restaurant_173,Chinese,4.1,2026-01-01,2026-04-10,False
R174,Restaurant_173,Chinese,3.9,2026-04-11,,True
R175,Restaurant_174,Chinese,3.7,2026-01-01,2026-04-10,False
R175,Restaurant_174,Chinese,3.7,2026-04-11,,True
R176,Restaurant_175,Chinese,4.1,2026-01-01,2026-04-10,False
R176,Restaurant_175,Chinese,4.3,2026-04-11,,True
R177,Restaurant_176,Chinese,4.2,2026-01-01,2026-04-10,False
R177,Restaurant_176,Chinese,4.1,2026-04-11,,True
R178,Restaurant_177,Chinese,4.2,2026-01-01,2026-04-10,False
R178,Restaurant_177,Chinese,4.2,2026-04-11,,True
R179,Restaurant_178,Indian,3.7,2026-01-01,2026-04-10,False
R179,Restaurant_178,Indian,3.8,2026-04-11,,True
R180,Restaurant_179,Fast Food,3.6,2026-01-01,,True
R181,Restaurant_180,Fast Food,3.7,2026-01-01,2026-04-10,False
R181,Restaurant_180,Fast Food,4.2,2026-04-11,,True
R182,Restaurant_181,Chinese,3.9,2026-01-01,2026-04-10,False
R182,Restaurant_181,Chinese,3.7,2026-04-11,,True
R183,Restaurant_182,Chinese,4.1,2026-01-01,2026-04-10,False
R183,Restaurant_182,Chinese,4.5,2026-04-11,,True
R184,Restaurant_183,Fast Food,4.5,2026-01-01,2026-04-10,False
R184,Restaurant_183,Fast Food,4.2,2026-04-11,,True
R185,Restaurant_184,Fast Food,3.6,2026-01-01,,True
R186,Restaurant_185,Italian,3.9,2026-01-01,2026-04-10,False
R186,Restaurant_185,Italian,3.9,2026-04-11,,True
R187,Restaurant_186,Italian,3.8,2026-01-01,2026-04-10,False
R187,Restaurant_186,Italian,3.9,2026-04-11,,True
R188,Restaurant_187,Indian,4.4,2026-01-01,2026-04-10,False
R188,Restaurant_187,Indian,4.3,2026-04-11,,True
R189,Restaurant_188,Italian,4.1,2026-01-01,2026-04-10,False
R189,Restaurant_188,Italian,4.6,2026-04-11,,True
R190,Restaurant_189,Indian,3.8,2026-01-01,,True
R191,Restaurant_190,Italian,4.2,2026-01-01,,True
R192,Restaurant_191,Italian,3.5,2026-01-01,,True
R193,Restaurant_192,Chinese,3.6,2026-01-01,2026-04-10,False
R193,Restaurant_192,Chinese,3.2,2026-04-11,,True
R194,Restaurant_193,Indian,4.0,2026-01-01,2026-04-10,False
R194,Restaurant_193,Indian,3.7,2026-04-11,,True
R195,Restaurant_194,Fast Food,4.3,2026-01-01,,True
R196,Restaurant_195,Fast Food,4.1,2026-01-01,2026-04-10,False
R196,Restaurant_195,Fast Food,4.4,2026-04-11,,True
R197,Restaurant_196,Indian,3.6,2026-01-01,,True
R198,Restaurant_197,Indian,4.0,2026-01-01,,True
R199,Restaurant_198,Indian,4.5,2026-01-01,,True
R200,Restaurant_199,Fast Food,3.7,2026-01-01,2026-04-10,False
R200,Restaurant_199,Fast Food,3.3,2026-04-11,,True
