restaurant_name,cuisine,rating,order_count,score
Restaurant_67,Chinese,4.1,1,410.0
Restaurant_74,Chinese,4.1,1,410.0
Restaurant_88,Indian,4.1,1,410.0
Restaurant_91,Chinese,4.1,1,410.0
Restaurant_95,Italian,4.1,1,410.0
Restaurant_0,Indian,4.0,2,800.0
Restaurant_10,Chinese,4.0,1,400.0
Restaurant_108,Italian,4.0,1,400.0
Restaurant_11,Indian,4.0,1,400.0
Restaurant_114,Indian,4.0,1,400.0
Restaurant_119,Fast Food,4.0,1,400.0
Restaurant_123,Indian,4.0,1,400.0
Restaurant_135,Italian,4.0,1,400.0
Restaurant_14,Italian,4.0,1,400.0
Restaurant_16,Fast Food,4.0,1,400.0
Restaurant_165,Italian,4.0,1,400.0
Restaurant_167,Chinese,4.0,1,400.0
Restaurant_168,Fast Food,4.0,1,400.0
Restaurant_171,Italian,4.0,1,400.0
Restaurant_18,Chinese,4.0,1,400.0
Restaurant_193,Indian,4.0,1,400.0
Restaurant_197,Indian,4.0,1,400.0
Restaurant_21,Italian,4.0,1,400.0
Restaurant_29,Indian,4.0,1,400.0
Restaurant_38,Chinese,4.0,1,400.0
Restaurant_43,Indian,4.0,1,400.0
Restaurant_63,Fast Food,4.0,1,400.0
Restaurant_64,Fast Food,4.0,1,400.0
Restaurant_75,Indian,4.0,1,400.0
Restaurant_92,Indian,4.0,1,400.0
Restaurant_96,Chinese,4.0,1,400.0
Restaurant_98,Fast Food,4.0,1,400.0
Restaurant_99,Italian,4.0,1,400.0
Restaurant_115,Indian,3.9,2,780.0
Restaurant_185,Italian,3.9,2,780.0
Restaurant_107,Indian,3.9,1,390.0
Restaurant_125,Chinese,3.9,1,390.0
Restaurant_128,Indian,3.9,1,390.0
Restaurant_132,Indian,3.9,1,390.0
Restaurant_135,Italian,3.9,1,390.0
Restaurant_150,Indian,3.9,1,390.0
Restaurant_153,Fast Food,3.9,1,390.0
Restaurant_16,Fast Food,3.9,1,390.0
Restaurant_161,Italian,3.9,1,390.0
Restaurant_164,Italian,3.9,1,390.0
Restaurant_165,Italian,3.9,1,390.0
Restaurant_166,Fast Food,3.9,1,390.0
Restaurant_169,Indian,3.9,1,390.0
Restaurant_173,Chinese,3.9,1,390.0
Restaurant_181,Chinese,3.9,1,390.0
Restaurant_186,Italian,3.9,1,390.0
Restaurant_3,Fast Food,3.9,1,390.0
Restaurant_30,Italian,3.9,1,390.0
Restaurant_32,Fast Food,3.9,1,390.0
Restaurant_43,Indian,3.9,1,390.0
Restaurant_44,Chinese,3.9,1,390.0
Restaurant_47,Indian,3.9,1,390.0
Restaurant_51,Italian,3.9,1,390.0
Restaurant_56,Chinese,3.9,1,390.0
Restaurant_61,Indian,3.9,1,390.0
Restaurant_66,Fast Food,3.9,1,390.0
Restaurant_69,Indian,3.9,1,390.0
Restaurant_8,Chinese,3.9,1,390.0
Restaurant_80,Fast Food,3.9,1,390.0
Restaurant_86,Fast Food,3.9,1,390.0
Restaurant_92,Indian,3.9,1,390.0
Restaurant_50,Indian,3.8,2,760.0
Restaurant_73,Fast Food,3.8,2,760.0
Restaurant_102,Fast Food,3.8,1,380.0
Restaurant_109,Indian,3.8,1,380.0
Restaurant_117,Indian,3.8,1,380.0
Restaurant_136,Fast Food,3.8,1,380.0
Restaurant_143,Indian,3.8,1,380.0
Restaurant_145,Chinese,3.8,1,380.0
Restaurant_148,Fast Food,3.8,1,380.0
Restaurant_153,Fast Food,3.8,1,380.0
Restaurant_156,Chinese,3.8,1,380.0
Restaurant_162,Fast Food,3.8,1,380.0
Restaurant_172,Chinese,3.8,1,380.0
Restaurant_178,Indian,3.8,1,380.0
Restaurant_186,Italian,3.8,1,380.0
Restaurant_189,Indian,3.8,1,380.0
Restaurant_22,Italian,3.8,1,380.0
Restaurant_25,Italian,3.8,1,380.0
Restaurant_35,Italian,3.8,1,380.0
Restaurant_55,Chinese,3.8,1,380.0
Restaurant_58,Fast Food,3.8,1,380.0
Restaurant_66,Fast Food,3.8,1,380.0
Restaurant_87,Italian,3.8,1,380.0
Restaurant_89,Italian,3.8,1,380.0
Restaurant_174,Chinese,3.7,2,740.0
Restaurant_121,Chinese,3.7,1,370.0
Restaurant_122,Fast Food,3.7,1,370.0
Restaurant_128,Indian,3.7,1,370.0
Restaurant_147,Indian,3.7,1,370.0
Restaurant_169,Indian,3.7,1,370.0
Restaurant_17,Italian,3.7,1,370.0
Restaurant_178,Indian,3.7,1,370.0
Restaurant_18,Chinese,3.7,1,370.0
Restaurant_180,Fast Food,3.7,1,370.0
Restaurant_181,Chinese,3.7,1,370.0
Restaurant_193,Indian,3.7,1,370.0
Restaurant_199,Fast Food,3.7,1,370.0
Restaurant_23,Fast Food,3.7,1,370.0
Restaurant_26,Fast Food,3.7,1,370.0
Restaurant_28,Italian,3.7,1,370.0
Restaurant_39,Chinese,3.7,1,370.0
Restaurant_47,Indian,3.7,1,370.0
Restaurant_53,Fast Food,3.7,1,370.0
Restaurant_60,Indian,3.7,1,370.0
Restaurant_72,Indian,3.7,1,370.0
Restaurant_84,Italian,3.7,1,370.0
Restaurant_93,Italian,3.7,1,370.0
Restaurant_94,Chinese,3.7,1,370.0
Restaurant_106,Italian,3.6,1,360.0
Restaurant_114,Indian,3.6,1,360.0
Restaurant_119,Fast Food,3.6,1,360.0
Restaurant_120,Indian,3.6,1,360.0
Restaurant_148,Fast Food,3.6,1,360.0
Restaurant_160,Indian,3.6,1,360.0
Restaurant_172,Chinese,3.6,1,360.0
Restaurant_179,Fast Food,3.6,1,360.0
Restaurant_184,Fast Food,3.6,1,360.0
Restaurant_192,Chinese,3.6,1,360.0
Restaurant_196,Indian,3.6,1,360.0
Restaurant_33,Indian,3.6,1,360.0
Restaurant_4,Fast Food,3.6,1,360.0
Restaurant_69,Indian,3.6,1,360.0
Restaurant_78,Italian,3.6,1,360.0
Restaurant_80,Fast Food,3.6,1,360.0
Restaurant_87,Italian,3.6,1,360.0
Restaurant_88,Indian,3.6,1,360.0
Restaurant_141,Italian,3.5,2,700.0
Restaurant_97,Chinese,3.5,2,700.0
Restaurant_102,Fast Food,3.5,1,350.0
Restaurant_107,Indian,3.5,1,350.0
Restaurant_11,Indian,3.5,1,350.0
Restaurant_110,Fast Food,3.5,1,350.0
Restaurant_139,Italian,3.5,1,350.0
Restaurant_143,Indian,3.5,1,350.0
Restaurant_152,Italian,3.5,1,350.0
Restaurant_155,Italian,3.5,1,350.0
Restaurant_191,Italian,3.5,1,350.0
Restaurant_26,Fast Food,3.5,1,350.0
Restaurant_38,Chinese,3.5,1,350.0
Restaurant_68,Chinese,3.5,1,350.0
Restaurant_71,Indian,3.5,1,350.0
Restaurant_81,Chinese,3.5,1,350.0
Restaurant_51,Italian,3.4,1,340.0
Restaurant_106,Italian,3.3,1,330.0
Restaurant_147,Indian,3.3,1,330.0
Restaurant_199,Fast Food,3.3,1,330.0
Restaurant_53,Fast Food,3.3,1,330.0
Restaurant_81,Chinese,3.3,1,330.0
Restaurant_94,Chinese,3.3,1,330.0
Restaurant_192,Chinese,3.2,1,320.0
Restaurant_160,Indian,3.1,1,310.0
